timestamp,label,F3,F4,C3,Cz,C4,P3,P4,accX,accY,accZ
0.0,N,8840.93251875123,8901.215575896467,8031.820092580113,7568.519630474394,7798.356917468585,8839.839831916082,6604.397614445736,18.4375,808.8125,-459.5625
1.0,N,-839.2820687938287,-857.5820283921208,-672.106044875558,-635.0454402414902,-651.8559491420318,-837.5351820809731,-552.4447906669916,16.0,809.625,-456.6875
2.0,N,-562.3543827543508,-568.6960043262548,-496.9543398894267,-464.72841049048344,-482.4058034204189,-564.2880801808185,-405.34887350863073,14.1875,811.625,-455.25
3.0,N,100.66307374292876,103.22295241147631,86.14175543557371,77.13184293640586,82.49297457735972,102.4154371014426,65.23983284991803,16.9375,811.625,-452.875
4.0,N,3.0970982711571406,2.280203230234235,0.8310611874992542,3.317542598542413,2.6615474010178595,2.1235730875401186,3.2941209846245254,14.4375,806.625,-462.625
5.0,N,-2.422739520813601,-0.9577539127364824,0.030344400823239765,-0.727899333211501,-1.090583506924147,-0.5824165303027723,1.2160162774498753,12.875,808.0625,-459.0
6.0,N,-0.007042636577671715,0.42256834322347414,-1.4169967682034363,-0.980679621522147,-0.8579341612387384,-0.41520796288422207,0.982324278273547,11.625,808.875,-460.3125
7.0,N,1.288425926686146,-0.1086410074387386,2.6169917177659054,1.1698255943340536,1.7014949752697681,0.9567532727113749,-2.9857239734054244,12.4375,810.4375,-455.375
8.0,N,-1.5719506089548696,-1.0293895800720956,-2.1332009592860213,-0.7477599462939972,-2.0349835703681416,-2.1272776160126377,-0.7034570762805474,15.9375,812.0,-452.5625
9.0,N,4.316183279496912,3.4044628048199823,1.5377659886354162,1.1848494217299286,2.0696145449159467,2.2080077804278933,1.081268557135328,16.5625,813.1875,-450.875
10.0,R,-2.8442369792873405,-1.8419449734019622,-0.4470626706180782,-1.3899906066671421,0.20262658807932302,-1.6274554388848048,1.5133153712751055,16.625,808.625,-457.875
11.0,R,-2.925553922037469,-2.4804612889905537,-3.2568704353773197,-2.4213727412219392,-5.6982669500122265,-0.3166991526941156,-5.608463279741094,16.25,809.0625,-460.3125
12.0,N,2.5336343226916256,0.8643683638035959,4.02219885712076,2.3459247806773385,5.008504622283768,0.8863008262427882,3.3040853766031577,21.5,805.125,-465.25
13.0,N,0.019557831783540224,0.2628185426533405,-3.3028491189379974,-0.24307823842823523,-1.626653242287928,-1.0303764158156048,0.964002291999303,23.5625,799.375,-474.125
14.0,L,0.3485119104260282,1.6155662022808495,2.359874703095198,1.427893770459315,1.845339158668385,0.7195186654937179,1.810083279918168,13.3125,802.3125,-470.125
15.0,L,-2.0079512462517983,-2.364272193455629,-1.3102900074018813,-2.514014519332377,-2.3380280303327736,-0.24198597170137623,-4.244996238031788,18.75,806.8125,-463.0
16.0,L,1.02072098583103,1.4504120765798456,-0.7056411727632536,2.07440415534958,0.9303960913350559,0.5968333500075973,5.6441906047345825,10.4375,805.5,-464.625
